Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
11.42,0.022850202,0.023490365,7.49E-05
11.44,0.022949827,0.023510349,-3.45E-05
11.46,0.022959345,0.02348107,7.42E-05
11.48,0.022930179,0.023484788,9.24E-05
11.5,0.022959498,0.023475338,2.21E-05
11.52,0.022877219,0.023488506,1.90E-05
11.54,0.022878908,0.023492843,4.30E-05
11.56,0.02291053,0.023502138,9.51E-05
11.58,0.022892416,0.023488816,1.33E-05
11.6,0.022899938,0.023502138,9.05E-05
11.62,0.022866934,0.023515461,5.68E-06
11.64,0.022848667,0.023478747,1.52E-05
11.66,0.022869083,0.023476578,9.28E-05
11.68,0.022921582,0.023494393,0.000109378
11.7,0.022911144,0.023496252,-3.48E-05
11.72,0.022904083,0.023485563,5.75E-05
11.74,0.022909455,0.02349935,2.42E-05
11.76,0.022926341,0.023497956,8.81E-05
11.78,0.022933556,0.02347286,2.27E-05
11.8,0.022843141,0.023490675,8.85E-05
11.82,0.022899478,0.023493308,3.84E-05
11.84,0.022934784,0.023486027,-1.66E-05
11.86,0.022885509,0.02349904,9.20E-05
11.88,0.02287154,0.02349966,7.19E-05
11.9,0.022905311,0.023485408,4.42E-05
11.92,0.022882745,0.023480915,9.97E-06
11.94,0.022937393,0.023467903,6.21E-05
11.96,0.022888886,0.023472085,5.02E-05
11.98,0.022914368,0.023511743,4.48E-05
12,0.022903315,0.023494393,4.54E-05
12.02,0.022929872,0.023488661,9.40E-05
