Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
14.36,-0.015877326,,
14.38,-0.015845113,,
14.4,-0.015859839,,
14.42,-0.01585447,,
14.44,-0.015850482,,
14.46,-0.015831307,,
14.48,-0.015851709,,
14.5,-0.0158626,,
14.52,-0.015831767,,
14.54,-0.015843272,,
14.56,-0.015857231,,
14.58,-0.015877939,,
14.6,-0.015876405,,
14.62,-0.01587165,,
14.64,-0.015864594,,
14.66,-0.015869349,,
14.68,-0.015869963,,
14.7,-0.015877326,,
14.72,-0.015864901,,
14.74,-0.015850175,,
14.76,-0.015853396,,
14.78,-0.015845726,,
14.8,-0.015842659,,
14.82,-0.015853703,,
14.84,-0.015858305,,
14.86,-0.015873031,,
14.88,-0.015854777,,
14.9,-0.015863827,,
14.92,-0.015862753,,
14.94,-0.015861219,,
14.96,-0.015885456,,
14.98,-0.015860146,,
15,-0.015857845,,
15.02,-0.015861526,,
15.04,-0.015855544,,
15.06,-0.015830387,,
15.08,-0.015871343,,
15.1,-0.015868276,,
15.12,-0.015843119,,
15.14,-0.015849561,,
15.16,-0.015883768,,
15.18,-0.015847874,,
15.2,-0.015840358,,
15.22,-0.015861833,,
15.24,-0.015877019,,
15.26,-0.015861373,,
15.28,-0.015828546,,
15.3,-0.015869656,,
15.32,-0.015839284,,
15.34,-0.015893586,,
15.36,-0.015844346,,
15.38,-0.01588745,,
15.4,-0.015902483,,
15.42,-0.015831921,,
15.44,-0.015873031,,
15.46,-0.015890058,,
15.48,-0.015869349,,
15.5,-0.015842045,,
15.52,-0.015853396,,
15.54,-0.015851555,,
15.56,-0.015823484,,
15.58,-0.015823638,,
15.6,-0.015870576,,
15.62,-0.015857231,,
15.64,-0.015838363,,
15.66,-0.015877479,,
15.68,-0.015864287,,
15.7,-0.015876252,,
15.72,-0.015867509,,
15.74,-0.015899568,,
15.76,-0.015877326,,
15.78,-0.015812133,,
15.8,-0.015893893,,
15.82,-0.015865668,,
15.84,-0.01584542,,
15.86,-0.015859992,,
15.88,-0.015841125,,
15.9,-0.015866435,,
15.92,-0.015844039,,
15.94,-0.015847414,,
15.96,-0.015907391,,
15.98,-0.01583054,,
16,-0.015854163,,
16.02,-0.015877786,,
16.04,-0.015834529,,
16.06,-0.015880394,,
16.08,-0.015859532,,
16.1,-0.015857845,,
16.12,-0.015874411,,
16.14,-0.015861526,,
16.16,-0.015865361,,
16.18,-0.015848334,,
16.2,-0.015864594,,
16.22,-0.015884689,,
16.24,-0.015844959,,
16.26,-0.015858458,,
16.28,-0.015840664,,
16.3,-0.015857078,,
16.32,-0.015856924,,
16.34,-0.01583008,,
16.36,-0.015883308,,
16.38,-0.015849561,,
16.4,-0.015859532,,
16.42,-0.015850022,,
16.44,-0.015865208,,
16.46,-0.015925952,,
16.48,-0.015865821,,
16.5,-0.015869963,,
16.52,-0.015873031,,
16.54,-0.015864134,,
16.56,-0.015862907,,
16.58,-0.015851249,,
16.6,-0.015841585,,
16.62,-0.015849561,,
16.64,-0.015841585,,
16.66,-0.015834375,,
16.68,-0.015830847,,
16.7,-0.01587886,,
16.72,-0.01586398,,
16.74,-0.015842965,,
16.76,-0.015889904,,
16.78,-0.015869656,,
16.8,-0.015871497,,
16.82,-0.015885456,,
16.84,-0.015875485,,
16.86,-0.015873031,,
16.88,-0.015852629,,
16.9,-0.015862293,,
16.92,-0.015866588,,
16.94,-0.01584588,,
16.96,-0.015883155,,
16.98,-0.015836216,,
17,-0.015843426,,
17.02,-0.01586398,,
17.04,-0.015849715,,
17.06,-0.015848948,,
17.08,-0.015861526,,
17.1,-0.01588837,,
17.12,-0.015845266,,
17.14,-0.015834068,,
17.16,-0.015869963,,
17.18,-0.015884535,,
17.2,-0.015874258,,
17.22,-0.015861373,,
17.24,-0.015875639,,
17.26,-0.015887297,,
17.28,-0.01584542,,
17.3,-0.015859532,,
17.32,-0.015878093,,
17.34,-0.015845113,,
17.36,-0.015848334,,
17.38,-0.015836676,,
17.4,-0.015838363,,
17.42,-0.01583913,,
17.44,-0.015866895,,
17.46,-0.015857078,,
17.48,-0.015850788,,
17.5,-0.015857538,,
